,顏色,單價,成本,系列,產品,訂單時間,性別,年紀,廣告代號all,尺寸,訂單編號,去識別化會員編碼
8899,white,656.0,375.0,系列15,產品15-29,2017-09-24T17:47:54,FEMALE,30.0,廣告_KDP_D,XS,364125,L_CBY_02556
8900,babypink,1091.0,472.0,系列2,產品2-30,2017-09-24T17:47:54,FEMALE,30.0,廣告_KDP_D,S,364125,L_CBY_02556
8901,navyblue,821.0,428.0,系列2,產品2-29,2017-09-24T17:47:54,FEMALE,30.0,廣告_KDP_D,S,364125,L_CBY_02556
8902,,411.0,215.0,系列87,產品87-35,2017-09-02T06:13:46,FEMALE,28.0,廣告_B2KM_D,無,353391,L_CBY_03113
8903,babypink,821.0,418.0,系列15,產品15-29,2017-05-21T07:10:47,FEMALE,30.0,廣告_KDP_D,S,305787,L_CBY_02822
8904,white,740.0,370.0,系列47,產品47-12,2016-09-15T17:53:11,FEMALE,30.0,廣告_critei_critei,L,233949,L_CBY_02074
8905,white,740.0,370.0,系列47,產品47-12,2016-09-15T17:53:11,FEMALE,30.0,廣告_critei_critei,L,233949,L_CBY_02074
8906,white,740.0,370.0,系列89,產品89-12,2016-09-15T17:53:11,FEMALE,30.0,廣告_critei_critei,L,233949,L_CBY_02074
8907,white,821.0,375.0,系列79,產品79-29,2018-04-07T13:50:46,FEMALE,30.0,廣告_critei_critei,M,423636,L_CBY_02074
8908,white,656.0,375.0,系列79,產品79-29,2018-04-07T13:50:46,FEMALE,30.0,廣告_critei_critei,M,423636,L_CBY_02074
8909,white,821.0,373.0,系列79,產品79-12,2018-04-07T13:50:46,FEMALE,30.0,廣告_critei_critei,L,423636,L_CBY_02074
8910,white,780.0,367.0,系列163,產品163-18,2016-06-11T20:45:47,FEMALE,,廣告_KDPOD_cqmp,XS,204495,L_CBY_01389
8911,babyblue,865.0,419.0,系列628,產品628-3,2016-06-11T20:45:47,FEMALE,,廣告_KDPOD_cqmp,XS,204495,L_CBY_01389
8912,lightgray,979.0,434.0,系列79,產品79-17,2016-03-12T14:55:36,FEMALE,,廣告_qdwit_pid,F,178326,L_CBY_01593
8913,creamywhitejeanblue,1119.0,489.0,系列138,產品138-11,2016-03-12T14:55:36,FEMALE,,廣告_qdwit_pid,S,178326,L_CBY_01593
8914,black,985.0,433.0,系列68,產品68-12,2019-04-22T08:17:01,,24.0,廣告_自然流量,S,553527,L_CBY_00760
8915,black,985.0,433.0,系列68,產品68-12,2019-04-22T08:17:01,,24.0,廣告_自然流量,M,553527,L_CBY_00760
8916,,985.0,619.0,系列3,產品3-97,2019-04-22T08:17:01,,24.0,廣告_自然流量,S,553527,L_CBY_00760
8917,tiffanygreen,878.0,419.0,系列10,產品10-3,2016-07-09T13:44:59,FEMALE,38.0,廣告_critei_critei,XS,213024,L_CBY_04992
8918,lemonyellow,842.0,418.0,系列10,產品10-18,2016-07-09T13:44:59,FEMALE,38.0,廣告_critei_critei,XS,213024,L_CBY_04992
8919,babyblue,684.0,418.0,系列10,產品10-18,2016-09-16T14:15:49,FEMALE,38.0,廣告_B2KPOD_qrtist,XS,234201,L_CBY_04992
8920,gray,793.0,418.0,系列10,產品10-18,2016-08-20T07:58:47,FEMALE,40.0,廣告_KDPOD_select,M,226533,L_CBY_00916
8921,white,656.0,370.0,系列5,產品5-3,2016-08-20T07:58:47,FEMALE,40.0,廣告_KDPOD_select,S,226533,L_CBY_00916
8922,irontrigray,793.0,419.0,系列5,產品5-12,2016-08-20T07:58:47,FEMALE,40.0,廣告_KDPOD_select,L,226533,L_CBY_00916
8923,babypink,793.0,418.0,系列79,產品79-18,2016-08-20T07:58:47,FEMALE,40.0,廣告_KDPOD_select,M,226533,L_CBY_00916
8924,,576.0,275.0,系列5,產品5-27,2016-12-27T02:11:33,FEMALE,40.0,廣告_KDPOD_select,無,258873,L_CBY_00916
8925,,492.0,248.0,系列5,產品5-26,2016-12-27T02:11:33,FEMALE,40.0,廣告_KDPOD_select,無,258873,L_CBY_00916
8926,,985.0,635.0,系列75,產品75-5,2016-12-27T02:11:33,FEMALE,40.0,廣告_KDPOD_select,無,258873,L_CBY_00916
